Name,ApplicableClasses
Pset_DistributionChamberElementTypeSump,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeTrench,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeTrench,IfcDistributionChamberElementType
Pset_DistributionChamberElementTypeValveChamber,IfcDistributionChamberElement
Pset_DistributionChamberElementTypeValveChamber,IfcDistributionChamberElementType
Pset_DistributionPortCommon,IfcDistributionPort
Pset_DistributionPortPHistoryCable,IfcDistributionPort
Pset_DistributionPortPHistoryDuct,IfcDistributionPort
Pset_DistributionPortPHistoryPipe,IfcDistributionPort
Pset_DistributionPortTypeCable,IfcDistributionPort
Pset_DistributionPortTypeDuct,IfcDistributionPort
Pset_DistributionPortTypePipe,IfcDistributionPort
Pset_DistributionSystemCommon,IfcDistributionSystem
Pset_DistributionSystemTypeElectrical,IfcDistributionSystem
Pset_DistributionSystemTypeOverheadContactlineSystem,IfcDistributionSystem_CONTACTLINE_SYSTEM
Pset_DistributionSystemTypeVentilation,IfcDistributionSystem
Pset_DoorCommon,IfcDoor
Pset_DoorCommon,IfcDoorType
Pset_DoorLiningProperties,IfcDoor
Pset_DoorLiningProperties,IfcMember
Pset_DoorLiningProperties,IfcDoorType
Pset_DoorLiningProperties,IfcMemberType
Pset_DoorPanelProperties,IfcDoor
Pset_DoorPanelProperties,IfcPlate
Pset_DoorPanelProperties,IfcDoorType
Pset_DoorPanelProperties,IfcPlateType
Pset_DoorTypeTurnstile,IfcDoor
Pset_DoorTypeTurnstile,IfcDoorType
Pset_DoorWindowGlazingType,IfcDoor
Pset_DoorWindowGlazingType,IfcWindow
Pset_DoorWindowGlazingType,IfcDoorType
Pset_DoorWindowGlazingType,IfcWindowType
Pset_DuctFittingOccurrence,IfcDuctFitting
Pset_DuctFittingPHistory,IfcDuctFitting
Pset_DuctFittingTypeCommon,IfcDuctFitting
Pset_DuctFittingTypeCommon,IfcDuctFittingType
Pset_DuctSegmentOccurrence,IfcDuctSegment
Pset_DuctSegmentPHistory,IfcDuctSegment
Pset_DuctSegmentTypeCommon,IfcDuctSegment
Pset_DuctSegmentTypeCommon,IfcDuctSegmentType
Pset_DuctSilencerPHistory,IfcDuctSilencer
Pset_DuctSilencerTypeCommon,IfcDuctSilencer
Pset_DuctSilencerTypeCommon,IfcDuctSilencerType
Pset_ElectricalDeviceCommon,IfcDistributionElement
Pset_ElectricalDeviceCommon,IfcDistributionElementType
Pset_ElectricalDeviceCompliance,IfcDistributionElement
Pset_ElectricalDeviceCompliance,IfcDistributionElementType
Pset_ElectricalFeederLine,IfcCableSegment
Pset_ElectricalFeederLine,IfcCableSegmentType
Pset_ElectricAppliancePHistory,IfcElectricAppliance
Pset_ElectricApplianceTypeCommon,IfcElectricAppliance
Pset_ElectricApplianceTypeCommon,IfcElectricApplianceType
Pset_ElectricApplianceTypeDishwasher,IfcElectricAppliance
Pset_ElectricApplianceTypeDishwasher,IfcElectricApplianceType
Pset_ElectricApplianceTypeElectricCooker,IfcElectricAppliance
Pset_ElectricApplianceTypeElectricCooker,IfcElectricApplianceType
Pset_ElectricFlowStorageDeviceTypeBattery,IfcElectricFlowStorageDevice
Pset_ElectricFlowStorageDeviceTypeBattery,IfcElectricFlowStorageDeviceType
