Name,template_type,applicable_entities,applicable_type_value,property_definitions
Qto_DuctFittingBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcDuctFitting'],IfcDuctFitting,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_DuctSegmentBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcDuctSegment'],IfcDuctSegment,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_DuctSilencerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcDuctSilencer'],IfcDuctSilencer,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_EvaporativeCoolerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcEvaporativeCooler'],IfcEvaporativeCooler,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_EvaporatorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcEvaporator'],IfcEvaporator,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_FanBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcFan'],IfcFan,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_FilterBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcFilter'],IfcFilter,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_FlowMeterBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcFlowMeter'],IfcFlowMeter,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_HeatExchangerBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcHeatExchanger'],IfcHeatExchanger,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_HumidifierBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcHumidifier'],IfcHumidifier,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PipeFittingBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcPipeFitting'],IfcPipeFitting,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PipeSegmentBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcPipeSegment'],IfcPipeSegment,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'NetCrossSectionArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'OuterSurfaceArea', 'property_type': 'IfcQuantityArea'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_PumpBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcPump'],IfcPump,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SpaceHeaterBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSpaceHeater'],IfcSpaceHeater,"[{'property_name': 'Length', 'property_type': 'IfcQuantityLength'}, {'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_TankBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcTank'],IfcTank,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'TotalSurfaceArea', 'property_type': 'IfcQuantityArea'}]"
Qto_TubeBundleBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcTubeBundle'],IfcTubeBundle,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}, {'property_name': 'NetWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_UnitaryEquipmentBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcUnitaryEquipment'],IfcUnitaryEquipment,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_ValveBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcValve'],IfcValve,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_VibrationIsolatorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcVibrationIsolator'],IfcVibrationIsolator,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_FireSuppressionTerminalBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcFireSuppressionTerminal'],IfcFireSuppressionTerminal,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_InterceptorBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcInterceptor'],IfcInterceptor,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
Qto_SanitaryTerminalBaseQuantities,QTO_OCCURRENCEDRIVEN,['IfcSanitaryTerminal'],IfcSanitaryTerminal,"[{'property_name': 'GrossWeight', 'property_type': 'IfcQuantityWeight'}]"
